Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent_Africa,Continent_America,Continent_Europe,Score_log
5.824,0.90019,0.73017,0.41496,0.14982,0.05989,0,1,0,1.920445810189378
5.813,1.03192,0.73608,0.37938,0.11046,0.1909,0,0,1,1.918832551791531
5.791,1.12555,0.77903,0.53122,0.16759,0.04212,0,0,1,1.9155982061316543
5.77,1.12486,0.72394,0.53024,0.33075,0.10501,0,0,0,1.9125010869241836
5.759,1.08254,0.78805,0.25883,0.05444,0.0243,0,0,1,1.9108749501182172
5.754,1.13145,0.7038,0.41668,0.18295,0.11023,1,0,0,1.9101349219633759
5.716,1.13764,0.66926,0.36679,0.00199,0.03005,0,0,1,1.9044927392152944
5.709,0.81038,0.68741,0.50442,0.2123,0.02299,0,1,0,1.903449908580751
5.695,1.20806,0.92356,0.49027,0.26169,0.1428,0,0,0,1.9013609791431358
5.689,1.20813,0.92356,0.40672,0.30638,0.06146,0,0,0,1.900464386136271
5.605,0.93929,0.61766,0.28579,0.07822,0.17383,1,0,0,1.8878269379742887
5.589,0.80148,0.63132,0.24749,0.2831,0.04741,0,0,1,1.8854015919316829
5.548,0.95847,0.53886,0.4761,0.16979,0.30844,0,0,0,1.8791596595088884
5.477,1.00761,0.7095,0.56066,0.37744,0.07521,1,0,0,1.86825744020078
5.474,1.38604,1.01328,0.59608,0.39478,0.37124,0,0,0,1.8677941555040527
5.429,1.15174,0.77361,0.44888,0.0868,0.15184,0,0,1,1.8608190051595497
5.399,0.82827,0.63793,0.46611,0.51535,0.0,0,0,0,1.8561417281573231
5.36,0.63216,0.74676,0.59444,0.1686,0.10441,0,0,0,1.8500283773520307
5.332,1.06098,0.73172,0.22815,0.12253,0.15746,0,0,0,1.8456161420187658
5.286,0.47428,0.65088,0.43477,0.3003,0.04232,0,0,0,1.8383249383753757
5.268,0.65435,0.16007,0.34334,0.27233,0.0403,1,0,0,1.8354573244937744
5.253,0.77042,0.57407,0.53206,0.47998,0.15445,0,0,0,1.833061348585161
5.212,1.02389,0.64045,0.3703,0.07799,0.16065,0,0,0,1.8264829052864406
5.194,0.59543,0.51466,0.12102,0.33671,0.10464,0,0,0,1.8235810815510112
5.192,0.90198,0.69639,0.40661,0.11053,0.14293,0,0,0,1.823258136287426
5.192,0.97438,0.72521,0.1826,0.1614,0.14296,0,0,1,1.823258136287426
5.14,0.89012,0.81658,0.51697,0.08185,0.02781,0,0,0,1.814824742159051
5.129,0.47038,0.29924,0.48827,0.19591,0.12468,1,0,0,1.8130316045035946
5.124,1.04345,0.7689,0.35068,0.13748,0.00649,0,0,1,1.8122154777954373
5.123,0.92053,0.74836,0.20107,0.19231,0.02617,0,0,1,1.8120521724958174
5.102,1.15991,0.87519,0.51469,0.13719,0.01078,0,0,1,1.808616586294478
5.098,1.11312,0.72437,0.29671,0.18226,0.06332,0,0,1,1.807960848566063
5.073,0.70532,0.58114,0.62545,0.24991,0.12279,0,0,0,1.8038527169154384
5.057,0.18847,0.43873,0.46582,0.50318,0.39928,1,0,0,1.8012146279988102
5.013,0.73479,0.60954,0.41691,0.07172,0.08546,1,0,0,1.7939237920574316
5.007,0.91851,0.73545,0.33457,0.22359,0.05327,0,0,1,1.7929254558680243
4.971,0.08308,0.09131,0.34037,0.22269,0.15603,1,0,0,1.7869144175648555
4.959,0.87867,0.81325,0.35733,0.14272,0.06413,0,0,1,1.7849026817648417
4.949,0.83223,0.79081,0.09245,0.24808,0.00227,0,0,1,1.7832231382057686
4.898,0.37545,0.07612,0.31767,0.16388,0.12504,1,0,0,1.7746133103930846
4.885,0.89537,0.66825,0.57672,0.21684,0.14234,0,1,0,1.7724067407122401
4.876,0.59066,0.54909,0.59591,0.42192,0.24249,0,0,0,1.7708762583116309
4.874,0.82819,0.60268,0.43626,0.3323,0.02666,0,0,0,1.7705358327764282
4.867,0.71206,0.07566,0.30658,0.18259,0.0306,1,0,0,1.769343429943723
4.857,1.15406,0.88213,0.07699,0.0,0.01397,0,0,1,1.7676375271076452
4.839,1.02564,0.83947,0.33916,0.21854,0.04582,0,0,0,1.7645595493014006
4.8,1.12094,0.75905,0.32112,0.128,0.02758,0,0,1,1.7578579175523736
4.788,0.59532,0.6951,0.40148,0.23027,0.06825,0,1,0,1.7557868087692374
4.786,0.39047,0.57379,0.47216,0.22974,0.15072,0,0,0,1.7554412065539433
4.739,0.88113,0.73793,0.26268,0.06431,0.06358,1,0,0,1.7472849791262255
4.715,0.59867,0.66015,0.24499,0.11251,0.12905,0,0,0,1.743094297246774
4.694,0.39753,0.60164,0.4082,0.21222,0.12569,0,0,0,1.7394129888558458
4.686,1.0088,0.69805,0.30033,0.38086,0.05863,0,0,0,1.738007013228808
4.681,0.79907,0.6739,0.25123,0.15275,0.02961,0,0,1,1.7371272735749899
4.677,0.98549,0.60237,0.0,0.17922,0.13788,0,0,0,1.7364229241885891
4.642,0.92049,0.27688,0.33207,0.11973,0.08884,1,0,0,1.7302386125798046
4.633,0.54558,0.40132,0.42342,0.23087,0.04355,1,0,0,1.728642159912577
4.61,0.271,0.33475,0.25861,0.18987,0.08079,1,0,0,1.724550719534605
4.571,0.0712,0.34201,0.28531,0.24362,0.06232,1,0,0,1.7175745710386785
4.565,0.64499,0.51529,0.39786,0.26475,0.08492,0,0,0,1.7164969847275082
4.55,0.52107,0.36878,0.10081,0.19062,0.1466,1,0,0,1.713797927758343
4.518,0.26673,0.38847,0.24425,0.46187,0.17175,0,1,0,1.7080154757950943
4.517,0.0,0.09806,0.22605,0.24834,0.07625,1,0,0,1.707834234290294
4.514,0.35997,0.56874,0.38282,0.32296,0.05907,0,0,0,1.707290312601605
4.512,0.19073,0.44055,0.4345,0.24325,0.15048,1,0,0,1.7069275337113574
4.507,0.33024,0.0,0.4084,0.21488,0.08786,1,0,0,1.7060200102803444
4.436,0.45407,0.35874,0.24232,0.219,0.17461,1,0,0,1.6930434962888974
