Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent_Africa,Continent_America,Continent_Europe,Score_log
3.622,0.10706,0.23165,0.25748,0.24063,0.04852,1,0,0,1.530827511852189
3.607,0.22415,0.18829,0.30953,0.29914,0.1192,1,0,0,1.52757688595378
3.515,0.32846,0.31865,0.5432,0.23552,0.50521,1,0,0,1.5074051868689489
3.484,0.39499,0.21028,0.39747,0.2018,0.06681,1,0,0,1.5005155052099135
3.36,0.38227,0.17344,0.1643,0.31268,0.07112,0,0,0,1.4724720573609429
3.303,0.28123,0.24811,0.34678,0.17517,0.11587,1,0,0,1.4593124538564626
3.069,0.74719,0.62994,0.06912,0.48397,0.17233,0,0,0,1.4033972690195529
2.905,0.06831,0.15747,0.0432,0.2029,0.09419,1,0,0,1.3622577832916491
7.53700017929077,1.61646318435669,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,0,0,1,2.144409679029782
7.52199983596802,1.48238301277161,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,0,0,1,2.1426510358296587
7.50400018692017,1.480633020401,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,0,0,1,2.140536663019911
7.49399995803833,1.56497955322266,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,0,0,1,2.139360026950925
7.4689998626709,1.44357192516327,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,0,0,1,2.1364124217239584
7.3769998550415,1.50394463539124,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,0,0,1,2.125489837867327
7.31599998474121,1.47920441627502,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,0,1,0,2.118181368160895
7.31400012969971,1.40570604801178,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,0,0,0,2.1179408564306033
7.28399991989136,1.49438726902008,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,0,0,1,2.1143259338630527
7.28399991989136,1.484414935112,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,0,0,0,2.1143259338630527
7.21299982070923,1.37538242340088,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,0,0,0,2.1057182429279355
7.0789999961853,1.10970628261566,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,0,1,0,2.0892681020253967
7.00600004196167,1.48709726333618,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,0,0,1,2.0801912658116595
6.99300003051758,1.54625928401947,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,0,1,0,2.0785661624619203
6.97700023651123,1.53570663928986,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459,0,0,1,2.076562430578137
6.95100021362305,1.48792338371277,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,0,0,1,2.0732977337867906
6.89099979400635,1.46378076076508,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,0,0,1,2.0657228434340125
6.86299991607666,1.74194359779358,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,0,0,1,2.062168202336183
6.71400022506714,1.44163393974304,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,0,0,1,2.043036888962486
6.65199995040894,1.25278460979462,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,0,1,0,2.034967045097209
6.64799976348877,1.62634336948395,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,0,0,0,2.0344441448245143
6.63500022888184,1.10735321044922,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,0,1,0,2.0327429686485705
6.60900020599365,1.35268235206604,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663,0,0,1,2.0293317842667538
6.59899997711182,1.18529546260834,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,0,1,0,2.028016656675649
6.57800006866455,1.15318381786346,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,0,1,0,2.0252493216574474
6.57200002670288,1.69227766990662,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418,0,0,0,2.0244572368736056
6.52699995040894,1.34327983856201,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711,0,0,1,2.018496549463972
6.4539999961853,1.21755969524384,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,0,1,0,2.008750800545301
6.4539999961853,0.872001945972443,0.540239989757538,0.531310617923737,0.283488392829895,0.0772232785820961,0,1,0,2.008750800545301
6.4520001411438,1.23374843597412,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,0,1,0,2.008482471679734
6.44199991226196,1.43092346191406,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,0,0,1,2.0071396181348526
6.42399978637695,1.12786877155304,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,0,0,0,2.0047179667092423
6.42199993133545,1.43362653255463,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,0,0,0,2.004448553386917
6.40299987792969,1.38439786434174,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,0,0,1,2.001885306971658
6.375,1.87076568603516,0.710098087787628,0.604130983352661,0.330473870038986,0.439299255609512,0,0,0,1.9980959022258835
6.35699987411499,1.07062232494354,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,0,1,0,1.9956522238392111
6.3439998626709,1.53062355518341,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126,0,0,0,1.993883634618693
6.16800022125244,1.36135590076447,0.519983291625977,0.518630743026733,0.325296461582184,0.0089648161083459,0,1,0,1.9696267065393196
6.10500001907349,1.63295245170593,0.632105708122253,0.496337592601776,0.228289797902107,0.215159550309181,0,0,0,1.9607987642335805
6.09800004959106,1.32539355754852,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,0,0,1,1.959813061210929
6.08699989318848,1.48841226100922,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,0,0,0,1.958262104756647
6.08400011062622,1.29121541976929,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218,0,0,0,1.9578387355369364
6.07100009918213,0.737299203872681,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,0,1,0,1.9560019266487094
6.00799989700317,1.00082039833069,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,0,1,0,1.947052338937054
6.00299978256226,0.909784495830536,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,0,1,0,1.9463385976241527
5.97300004959106,1.29178786277771,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,0,0,1,1.9420455553507423
5.97100019454956,0.786441087722778,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929,0,0,0,1.941758714412676
5.96400022506714,1.39506661891937,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629,0,0,1,1.940754054224601
5.96299982070923,1.28177809715271,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,0,0,1,1.94061039021134
5.95599985122681,0.907975316047668,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191,0,1,0,1.9396045751042863
5.92000007629395,1.41691517829895,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,0,0,0,1.9344157806547153
5.90199995040894,1.31458234786987,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812,0,0,1,1.9318112174907842
5.87200021743774,1.09186446666718,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,1,0,0,1.9274552163230685
5.84999990463257,1.26074862480164,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539,0,0,1,1.9242486383518813
5.83799982070923,1.40167844295502,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,0,0,0,1.9224952649973417
5.83799982070923,0.728870630264282,0.589465200901031,0.240729048848152,0.208779126405716,0.0100912861526012,0,0,1,1.9224952649973417
5.82499980926514,1.21768391132355,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893,0,0,1,1.9205923131245235
5.82299995422363,0.833756566047668,0.473630249500275,0.558732926845551,0.22556072473526,0.0604777261614799,0,1,0,1.9202992511241601
5.82200002670288,1.13077676296234,0.437726080417633,0.41827192902565,0.24992498755455,0.259270340204239,0,0,0,1.9201526879106845
5.81899976730347,1.28455626964569,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918,0,0,0,1.919712799413786
5.80999994277954,1.3469113111496,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483,0,0,0,1.918392111759004
5.75799989700317,1.3412059545517,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527,0,0,1,1.9107269730513716
5.71500015258789,1.03522527217865,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374,0,1,0,1.9043438526986392
5.62900018692017,1.18939554691315,0.638007462024689,0.491247326135635,0.360933750867844,0.0421815551817417,1,0,0,1.8914539914565944
5.62099981307983,1.35593807697296,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443,0,0,0,1.890246387711298
5.61100006103516,1.32087934017181,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813,0,0,1,1.8887349375838052
5.56899976730347,1.15655755996704,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393,0,0,1,1.8823615784869026
5.52500009536743,1.10180306434631,0.520169019699097,0.465733230113983,0.152073666453362,0.0926102101802826,1,0,0,1.875640967824455
5.5,1.19827437400818,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037,0,0,0,1.8718021769015913
5.49300003051758,0.932537317276001,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,0,1,0,1.8707246782264235
5.47200012207031,1.55167484283447,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914,0,0,0,1.8674851986174867
5.42999982833862,0.85769921541214,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,0,0,0,1.860974511552579
5.39499998092651,1.06931757926941,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693,0,0,1,1.8555164320482431
5.33599996566772,0.991012394428253,0.604590058326721,0.418421149253845,0.172170460224152,0.11980327218771,0,0,0,1.84624764909352
5.32399988174438,1.2860119342804,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,0,0,1,1.8443519006477282
5.31099987030029,0.925579309463501,0.641022384166718,0.474307239055634,0.233818337321281,0.0552677810192108,0,1,0,1.84229412205073
5.29300022125244,1.22255623340607,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,0,0,1,1.8394379397032958
5.27899980545044,0.951484382152557,0.541452050209045,0.260287940502167,0.319931447505951,0.0574716180562973,0,0,1,1.837210701147809
5.27299976348877,1.08116579055786,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,0,0,0,1.836254671411556
5.26900005340576,0.72688353061676,0.402047783136368,0.23521526157856,0.315446019172668,0.124348066747189,0,0,0,1.8356168608108552
5.26200008392334,0.995538592338562,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904771,0,0,0,1.8344996363062165
5.25,1.12843120098114,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443,0,1,0,1.8325814637483102
5.23699998855591,1.12112903594971,0.667464673519135,0.194989055395126,0.197911024093628,0.0881741940975189,0,0,1,1.8304992957091146
5.2350001335144,0.878114581108093,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,1,0,0,1.8301786005456964
5.23400020599365,1.15360176563263,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,0,0,0,1.8300182143887203
5.23000001907349,1.07937383651733,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,0,1,0,1.8293763358609172
5.22700023651123,1.28948748111725,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,0,0,1,1.8288947138718832
5.22499990463257,1.07498753070831,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704,0,0,0,1.8285734270307021
5.19500017166138,1.3151752948761,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,0,0,1,1.8237425427907712
5.18200016021729,0.982409417629242,0.705186307430267,0.204403176903725,0.328867495059967,0.0,0,0,1,1.8216418696266647
5.18100023269653,0.730573117733002,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734,0,1,0,1.821480108324204
5.17500019073486,1.06457793712616,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,0,0,1,1.8205089134022767
5.15100002288818,0.0226431842893362,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843,1,0,0,1.8166146739472815
5.07399988174438,0.788547575473785,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987,0,0,0,1.8040173471544065
5.07399988174438,0.783756256103516,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,1,0,0,1.8040173471544065
5.04099988937378,0.524713635444641,0.529235124588013,0.471566706895828,0.248997643589973,0.146377146244049,0,0,0,1.7985695428440365
5.01100015640259,0.885416388511658,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,0,0,0,1.7935911500764208
5.00400018692017,0.596220076084137,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,0,0,0,1.7924259449038216
4.96199989318848,0.479820191860199,0.504130780696869,0.440305948257446,0.394096165895462,0.0729755461215973,0,0,0,1.7854059773404956
4.95499992370605,1.02723586559296,0.557783484458923,0.394143968820572,0.338464230298996,0.0329022891819477,0,0,0,1.784231189995517
4.8289999961853,1.05469870567322,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,1,0,0,1.7628454584089779
4.80499982833862,1.00726580619812,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,1,0,0,1.7587195855785573
4.77500009536743,0.716249227523804,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,0,0,0,1.7535382729216977
4.7350001335144,0.989701807498932,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039,1,0,0,1.7465877738619615
4.71400022506714,1.1614590883255,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,0,0,1,1.7429193431972994
4.70900011062622,0.36842092871666,0.0055647538974881,0.318697690963745,0.293040901422501,0.0710951760411263,1,0,0,1.7420438963596347
4.69500017166138,0.564305365085602,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824,1,0,0,1.7395886270416172
4.69199991226196,1.15687310695648,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,0,0,0,1.7390616648133332
4.64400005340576,0.996192753314972,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,0,0,1,1.7305930434529628
4.60799980163574,0.586682975292206,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,0,0,0,1.72419411436063
4.57399988174438,0.964434325695038,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,1,0,0,1.7181129078441804
4.55299997329712,0.560479462146759,0.309988349676132,0.452763766050339,0.444860309362411,0.0646413192152977,1,0,0,1.7143383174507396
4.55000019073486,0.234305649995804,0.106654435396194,0.480791091918945,0.322228103876114,0.179436385631561,1,0,0,1.713797962124984
4.54500007629395,0.367110550403595,0.397522568702698,0.514492034912109,0.838075160980225,0.188816204667091,0,0,0,1.7128966345613834
4.53499984741211,0.479309022426605,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052,1,0,0,1.7110915385927787
4.51399993896484,0.636406779289246,0.257835894823074,0.461603492498398,0.249580144882202,0.0782135501503944,1,0,0,1.7072903015324792
4.49700021743774,1.10271048545837,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786,0,0,0,1.7042025284342328
4.46500015258789,1.1982102394104,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582,1,0,0,1.6983641495494328
4.46000003814697,0.339233845472336,0.353409707546234,0.408842742443085,0.312650740146637,0.165455713868141,1,0,0,1.6974487967434382
4.44000005722046,1.00985014438629,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308,0,0,0,1.6937790713863181
4.37599992752075,0.900596737861633,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,0,0,0,1.681944589738845
4.31500005722046,0.792221248149872,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515,0,0,0,1.670533022559755
4.29199981689453,0.648457288742065,0.285349279642105,0.0960980430245399,0.201870024204254,0.136957004666328,1,0,0,1.6661962116522797
4.29099988937378,0.808964252471924,0.28995743393898,0.435025870800018,0.120852127671242,0.0796181336045265,1,0,0,1.6660072430136181
4.28599977493286,0.950612664222717,0.649546980857849,0.309410035610199,0.0540088154375553,0.251666635274887,0,0,0,1.6650617736041284
4.28000020980835,0.0921023488044739,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425,1,0,0,1.6639261374545993
4.19000005722046,0.476180493831635,0.169365674257278,0.306613743305206,0.183354198932648,0.104970246553421,1,0,0,1.6467337082029339
4.17999982833862,0.603048920631409,0.0486421696841717,0.447706192731857,0.201237469911575,0.130061775445938,1,0,0,1.6448050231321287
4.16800022125244,0.601765096187592,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762,0,0,0,1.6424858092923045
4.13899993896484,0.65951669216156,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782,1,0,0,1.636858496133237
4.11999988555908,0.667224824428558,0.295637726783752,0.423026293516159,0.256923943758011,0.0253363698720932,1,0,0,1.633154416699674
4.09600019454956,0.89465194940567,0.575903952121735,0.122974775731564,0.270061463117599,0.0230294708162546,0,0,1,1.6284559564467767
4.08099985122681,0.381430715322495,0.217632606625557,0.443185955286026,0.325766056776047,0.057069718837738,1,0,0,1.6255080633312973
4.03200006484985,0.3502277135849,0.215844258666039,0.324367851018906,0.250864684581757,0.120328105986118,1,0,0,1.6158175322856294
4.02799987792969,0.161925330758095,0.26850500702858,0.36365869641304,0.228673845529556,0.138572946190834,1,0,0,1.615022266449896
3.97000002861023,0.233442038297653,0.315089583396912,0.466914653778076,0.287170469760895,0.0727116540074348,1,0,0,1.6034198458651228
3.93600010871887,0.438012987375259,0.0411347150802612,0.16234202682972,0.216113850474358,0.0535818822681904,1,0,0,1.5965553086287894
3.875,0.375846534967422,0.196763753890991,0.336384207010269,0.189143493771553,0.0953753814101219,1,0,0,1.5841201044498106
3.80800008773804,0.521021246910095,0.0,0.390661299228668,0.157497271895409,0.119094640016556,1,0,0,1.5702812154812507
3.79500007629395,0.858428180217743,0.0498686656355858,0.0,0.097926490008831,0.0697203353047371,1,0,0,1.5675737242465484
3.79399991035461,0.401477217674255,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284,0,0,0,1.5673651173126952
3.76600003242493,1.12209415435791,0.341755509376526,0.505196332931519,0.0993484482169151,0.0985831990838051,1,0,0,1.5615073854799348
3.65700006484985,0.431085407733917,0.209930211305618,0.425962775945663,0.207948461174965,0.0609290152788162,1,0,0,1.5383714779254816
3.64400005340576,0.305808693170547,0.375223308801651,0.189196765422821,0.208732530474663,0.0672319754958153,1,0,0,1.5355760753355934
3.6029999256134,0.368610262870789,0.277321130037308,0.0303698573261499,0.489203780889511,0.0998721495270729,0,1,0,1.5267082486746437
3.59299993515015,0.591683447360992,0.310080915689468,0.249463722109795,0.104125209152699,0.0567674227058887,0,0,0,1.524533391224377
3.59100008010864,0.39724862575531,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,1,0,0,1.524097882716146
3.53299999237061,0.119041793048382,0.229918196797371,0.332881182432175,0.26654988527298,0.0389482490718365,1,0,0,1.5113839702756349
3.50699996948242,0.244549930095673,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,1,0,0,1.5056317369373597
3.49499988555908,0.305444717407227,0.247105568647385,0.38042613863945,0.196896150708199,0.0956650152802467,1,0,0,1.5029656424639792
3.47099995613098,0.368745893239975,0.326424807310104,0.581843852996826,0.252756029367447,0.455220013856888,1,0,0,1.4976120874399401
3.46199989318848,0.777153134346008,0.50053334236145,0.0815394446253777,0.493663728237152,0.151347130537033,0,0,0,1.4955970720723037
3.34899997711182,0.511135876178741,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,1,0,0,1.4699459283526408
2.90499997138977,0.091622568666935,0.151610791683197,0.0599007532000542,0.204435184597969,0.0841479450464249,1,0,0,1.3622577759650858
2.69300007820129,0.0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,1,0,0,1.3064391570459715
7.632,1.305,0.874,0.681,0.202,0.393,0,0,1,2.1554762279558335
7.594,1.456,0.861,0.686,0.286,0.34,0,0,1,2.1510642853528035
7.555,1.351,0.868,0.683,0.284,0.408,0,0,1,2.1465159073441566
7.495,1.343,0.914,0.677,0.353,0.138,0,0,1,2.1394777551238953
7.487,1.42,0.927,0.66,0.256,0.357,0,0,1,2.13853558098754
7.441,1.361,0.878,0.638,0.333,0.295,0,0,1,2.133100785001583
7.328,1.33,0.896,0.653,0.321,0.291,0,1,0,2.119623331312668
7.324,1.268,0.876,0.669,0.365,0.389,0,0,0,2.119142908531388
7.314,1.355,0.913,0.659,0.285,0.383,0,0,1,2.1179408408304456
7.272,1.34,0.91,0.647,0.361,0.302,0,0,0,2.1128763177660734
7.19,1.244,0.888,0.464,0.262,0.082,0,0,1,2.102913897864978
7.139,1.341,0.891,0.617,0.242,0.224,0,0,1,2.0966673223449046
7.072,1.01,0.817,0.632,0.143,0.101,0,1,0,2.088401283051308
6.977,1.448,0.876,0.614,0.307,0.306,0,0,1,2.0765624009289927
6.965,1.34,0.861,0.586,0.273,0.28,0,0,1,2.0750569433620116
6.927,1.324,0.894,0.583,0.188,0.24,0,0,1,2.070274653855019
6.91,1.576,0.896,0.632,0.196,0.321,0,0,1,2.0681277817795625
6.886,1.398,0.819,0.547,0.291,0.133,0,1,0,2.0650890354554354
6.814,1.301,0.883,0.533,0.354,0.272,0,0,0,2.0559169966328787
6.711,1.233,0.854,0.543,0.064,0.034,0,0,1,2.0426478808508235
6.627,1.27,0.884,0.645,0.376,0.142,0,0,1,2.0316945831821016
6.489,1.293,0.908,0.52,0.098,0.176,0,0,1,2.01343527726723
6.488,1.038,0.761,0.479,0.069,0.095,0,1,0,2.013301739175291
6.476,1.131,0.808,0.431,0.197,0.061,0,1,0,2.011697889593316
6.441,1.365,0.857,0.418,0.151,0.078,0,0,0,2.007005248415124
6.43,1.112,0.759,0.597,0.125,0.063,0,1,0,2.005525858729668
6.419,0.986,0.675,0.493,0.11,0.088,0,1,0,2.004044277207389
6.388,1.073,0.744,0.57,0.062,0.054,0,1,0,1.9998570623369936
6.382,0.781,0.608,0.604,0.179,0.071,0,1,0,1.9990446046078068
6.379,1.093,0.771,0.625,0.13,0.155,0,1,0,1.9986381280762295
6.374,1.649,0.748,0.654,0.256,0.171,0,0,0,1.9979602998119528
6.371,1.379,0.633,0.509,0.098,0.127,0,0,0,1.9975533822071518
6.343,1.529,1.008,0.631,0.261,0.457,0,0,0,1.9937474784694733
6.322,1.161,0.669,0.356,0.311,0.059,0,0,0,1.9908835146980444
6.31,1.251,0.965,0.449,0.142,0.074,0,0,1,1.9892432737616872
6.26,0.96,0.635,0.531,0.099,0.039,0,1,0,1.9823798288367047
6.192,1.223,0.564,0.575,0.171,0.019,0,1,0,1.9729692971693191
6.173,1.21,0.776,0.354,0.118,0.014,0,0,1,1.9703239771442973
6.167,0.806,0.639,0.461,0.065,0.082,0,1,0,1.9694871570117822
6.141,0.668,0.7,0.527,0.208,0.128,0,1,0,1.965852822566973
6.123,1.176,0.781,0.546,0.108,0.064,0,0,1,1.9633289849962168
6.105,1.338,0.698,0.594,0.243,0.123,0,0,0,1.960798761549064
6.096,0.719,0.605,0.724,0.328,0.259,0,0,0,1.9595312450072784
6.083,1.474,0.675,0.554,0.167,0.106,0,0,0,1.9576975467714857
6.072,1.016,0.707,0.637,0.364,0.029,0,0,0,1.9561433253353424
6.0,1.264,0.946,0.281,0.137,0.028,0,0,1,1.9459101490553132
5.973,0.889,0.736,0.556,0.114,0.12,0,1,0,1.9420455482388737
5.956,0.807,0.474,0.593,0.183,0.089,0,1,0,1.9396045964920368
5.952,1.197,0.716,0.35,0.026,0.006,0,0,1,1.9390293879630909
5.948,1.219,0.856,0.633,0.16,0.051,0,0,1,1.9384538483788585
5.945,1.116,0.726,0.528,0.088,0.001,0,0,1,1.9380219762063071
5.933,1.148,0.671,0.363,0.092,0.066,0,0,1,1.9362926199603534
5.915,1.294,0.988,0.553,0.079,0.15,0,0,0,1.9336929651167216
5.891,1.09,0.684,0.584,0.245,0.05,1,0,0,1.930216212375071
5.89,0.819,0.693,0.575,0.096,0.031,0,1,0,1.9300710850255671
5.875,1.266,0.955,0.244,0.175,0.051,0,0,0,1.927891643552635
5.835,1.229,0.909,0.495,0.179,0.154,0,0,0,1.9220564701759129
5.81,1.151,0.599,0.399,0.065,0.025,0,0,1,1.918392120161421
5.79,1.143,0.631,0.454,0.148,0.121,0,0,0,1.9154509415706047
5.762,1.229,0.909,0.423,0.202,0.035,0,0,0,1.9113187042856943
5.752,0.751,0.508,0.606,0.141,0.054,0,1,0,1.909838757293656
5.739,1.2,0.737,0.553,0.086,0.174,0,0,1,1.9079115459640799
5.681,0.835,0.615,0.541,0.162,0.074,0,1,0,1.8992676769433403
5.663,0.934,0.674,0.53,0.092,0.034,0,1,0,1.8965698335804002
5.662,0.855,0.578,0.448,0.274,0.023,0,0,1,1.896419739771488
5.64,0.657,0.62,0.232,0.171,0.0,0,0,1,1.8931119634883424
5.636,1.016,0.517,0.417,0.199,0.037,0,0,0,1.892509372328198
5.62,1.171,0.732,0.259,0.061,0.022,0,0,1,1.890095369948917
5.566,0.985,0.553,0.496,0.116,0.148,1,0,0,1.881904819079401
5.524,0.775,0.513,0.643,0.12,0.105,0,0,0,1.8754876847587674
5.504,0.62,0.622,0.459,0.197,0.074,0,1,0,1.8724173722455095
5.483,1.039,0.7,0.307,0.101,0.154,0,0,1,1.8691833661928585
5.483,1.148,0.686,0.324,0.106,0.109,0,0,0,1.8691833661928585
5.472,0.652,0.424,0.334,0.216,0.113,0,0,0,1.8674851797561907
5.43,1.405,1.03,0.524,0.246,0.291,0,0,0,1.860974538249528
5.41,1.188,0.884,0.562,0.055,0.017,0,0,1,1.8578592709325787
5.398,0.975,0.685,0.288,0.134,0.043,0,0,1,1.8559854415273263
5.358,1.154,0.879,0.131,0.0,0.044,0,0,1,1.849713862488611
5.358,0.965,0.785,0.503,0.214,0.136,0,0,0,1.849713862488611
5.347,1.017,0.729,0.259,0.111,0.081,0,0,1,1.8479822603243332
5.321,1.115,0.737,0.38,0.12,0.039,0,0,1,1.8438774234901616
5.302,0.982,0.614,0.578,0.12,0.106,0,1,0,1.8408670433350829
5.295,0.979,0.687,0.077,0.055,0.135,1,0,0,1.8397556674963105
5.254,0.779,0.669,0.46,0.026,0.074,1,0,0,1.8332212590356494
5.246,0.989,0.799,0.597,0.029,0.103,0,0,0,1.831941258860887
5.201,1.024,0.603,0.43,0.031,0.176,0,0,0,1.8247105693677408
5.199,0.474,0.598,0.292,0.187,0.034,0,0,0,1.8243879887197822
5.185,0.959,0.691,0.394,0.173,0.052,0,0,1,1.8221270058444512
5.161,0.822,0.645,0.468,0.13,0.134,0,0,0,1.8182391020324336
5.155,0.689,0.048,0.462,0.201,0.032,1,0,0,1.8172647596364169
5.131,0.53,0.594,0.54,0.281,0.035,0,0,0,1.813357868780551
5.129,0.915,0.758,0.28,0.216,0.0,0,0,1,1.8130316045035946
5.125,0.914,0.575,0.395,0.253,0.032,0,0,0,1.8123787564307907
5.103,0.715,0.702,0.618,0.177,0.079,0,0,0,1.808780453562358
5.093,0.899,0.522,0.538,0.484,0.018,0,0,0,1.8071405712663573
5.082,0.796,0.527,0.541,0.364,0.171,0,0,0,1.805333589255173
4.982,0.0,0.115,0.674,0.238,0.282,1,0,0,1.7887549602077564
