Country,Year,Rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,ID,Score_log
China,2016,83,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,201683,1.831781143577541
Bhutan,2016,84,5.196,0.8527,0.90836,0.49759,0.46074,0.48546,0.1616,201684,1.823903922554622
Kyrgyzstan,2016,85,5.185,0.56044,0.95434,0.55449,0.40212,0.38432,0.04762,201685,1.8221270058444512
Serbia,2016,86,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339,201686,1.820832716713762
Bosnia and Herzegovina,2016,87,5.163,0.93383,0.64367,0.70766,0.09511,0.29889,0.0,201687,1.8185636719801062
Montenegro,2016,88,5.161,1.07838,0.74173,0.63533,0.15111,0.17191,0.12721,201688,1.8182391020324336
Dominican Republic,2016,89,5.155,1.02787,0.99496,0.57669,0.52259,0.21286,0.12372,201689,1.8172647596364169
Morocco,2016,90,5.151,0.84058,0.38595,0.59471,0.25646,0.04053,0.08404,201690,1.8166146702262311
Hungary,2016,91,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472,201691,1.815638743017998
Pakistan,2016,92,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388,201692,1.8135209610095675
Lebanon,2016,93,5.129,1.12268,0.64184,0.76171,0.26228,0.23693,0.03061,201693,1.8130316045035946
Portugal,2016,94,5.123,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521,201694,1.8120521724958174
Macedonia,2016,95,5.121,1.0193,0.78236,0.64738,0.27668,0.23507,0.07047,201695,1.8117254818689328
Vietnam,2016,96,5.061,0.74037,0.79117,0.66157,0.55954,0.25075,0.11556,201696,1.801874802969148
Somaliland Region,2016,97,5.057,0.25558,0.75862,0.33108,0.3913,0.51479,0.36794,201697,1.8012146279988102
Tunisia,2016,98,5.045,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817,201698,1.799231484066756
Greece,2016,99,5.033,1.24886,0.75473,0.80029,0.05822,0.0,0.04127,201699,1.7972443994586247
Tajikistan,2016,100,4.996,0.48835,0.75602,0.53119,0.43408,0.25998,0.13509,2016100,1.7910925802403512
Mongolia,2016,101,4.907,0.98853,1.08983,0.55469,0.35972,0.34539,0.03285,2016101,1.7761380883250981
Laos,2016,102,4.876,0.68042,0.5497,0.38291,0.52168,0.43079,0.22423,2016102,1.7708762583116309
Nigeria,2016,103,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305,2016103,1.7707060600302227
Honduras,2016,104,4.871,0.69429,0.75596,0.58383,0.26755,0.2044,0.06906,2016104,1.7700249770820489
Iran,2016,105,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557,2016105,1.7600967887192134
Zambia,2016,106,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479,2016106,1.756995476791715
Nepal,2016,107,4.793,0.44626,0.69699,0.50073,0.37012,0.3816,0.07008,2016107,1.756650292114487
Palestinian Territories,2016,108,4.754,0.67024,0.71629,0.56844,0.17744,0.11154,0.10613,2016108,1.7498952651293562
Albania,2016,109,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,2016109,1.7325401095680837
Bangladesh,2016,110,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583,2016110,1.730415838987003
Sierra Leone,2016,111,4.635,0.36485,0.628,0.0,0.30685,0.23897,0.08196,2016111,1.7289971474917396
Iraq,2016,112,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13636,2016112,1.7182923173461826
Namibia,2016,113,4.574,0.93287,0.70362,0.34745,0.48614,0.07795,0.10398,2016113,1.7181129290597563
Cameroon,2016,114,4.513,0.52497,0.62542,0.12698,0.42736,0.2268,0.06126,2016114,1.7071089396075465
Ethiopia,2016,115,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717,2016115,1.7062015808664084
South Africa,2016,116,4.459,1.02416,0.96053,0.18611,0.42483,0.13656,0.08415,2016116,1.6972656227996206
Sri Lanka,2016,117,4.415,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964,2016117,1.689172880452954
India,2016,118,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722,2016118,1.6871394200979524
Myanmar,2016,119,4.395,0.34112,0.69981,0.3988,0.42692,0.81971,0.20243,2016119,1.6854725987100978
Egypt,2016,120,4.362,0.95395,0.49813,0.52116,0.18847,0.12706,0.10393,2016120,1.6793370398137677
Armenia,2016,121,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616,2016121,1.6789639750827106
Kenya,2016,122,4.356,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686,2016122,1.6782174278289261
Ukraine,2016,123,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829,2016123,1.672224900532865
Ghana,2016,124,4.276,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326,2016124,1.663168234855068
Congo (Kinshasa),2016,125,4.272,0.05661,0.80676,0.188,0.15602,0.25458,0.06075,2016125,1.662409797200206
Georgia,2016,126,4.252,0.83792,0.19249,0.64035,0.32461,0.06786,0.3188,2016126,1.6586089564405497
Congo (Brazzaville),2016,127,4.236,0.77109,0.47799,0.28212,0.37938,0.12077,0.09753,2016127,1.6555578480476534
Senegal,2016,128,4.219,0.44314,0.77416,0.40457,0.31056,0.19103,0.11681,2016128,1.6523058126612762
Bulgaria,2016,129,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615,2016129,1.6519225240402555
Mauritania,2016,130,4.201,0.61391,0.84142,0.28639,0.1268,0.22686,0.17955,2016130,1.6488509147909354
Zimbabwe,2016,131,4.193,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582,2016131,1.6473115648621819
Malawi,2016,132,4.156,0.08709,0.147,0.29364,0.4143,0.30968,0.07564,2016132,1.640161085076941
Sudan,2016,133,4.139,0.63069,0.81928,0.29759,0.0,0.18077,0.10039,2016133,1.6368585080100926
Gabon,2016,134,4.121,1.15851,0.72368,0.3494,0.28098,0.06244,0.09314,2016134,1.6333497324804134
Mali,2016,135,4.073,0.31292,0.86333,0.16347,0.27544,0.21064,0.13647,2016135,1.623932358584553
Haiti,2016,136,4.028,0.34097,0.29561,0.27494,0.12072,0.47958,0.14476,2016136,1.615022290728001
Botswana,2016,137,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769,2016137,1.604224345381213
Comoros,2016,138,3.956,0.27509,0.60323,0.29981,0.15412,0.1827,0.18437,2016138,1.600598963766896
Ivory Coast,2016,139,3.916,0.55507,0.57576,0.04476,0.40663,0.20338,0.1553,2016139,1.5924951917037884
Cambodia,2016,140,3.907,0.55604,0.5375,0.42494,0.58852,0.40339,0.08092,2016140,1.5906627571077663
Angola,2016,141,3.866,0.84731,0.66366,0.04991,0.00589,0.12071,0.08434,2016141,1.5822722443613308
Niger,2016,142,3.856,0.1327,0.6053,0.26162,0.38041,0.2097,0.17176,2016142,1.580215053757197
South Sudan,2016,143,3.832,0.39394,0.18519,0.15781,0.19662,0.25899,0.13015,2016143,1.5752604606325138
Chad,2016,144,3.763,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952,2016144,1.5608777218187233
Burkina Faso,2016,145,3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533,2016145,1.5558261429854512
Uganda,2016,145,3.739,0.34719,0.90981,0.19625,0.43653,0.27102,0.06442,2016146,1.5558261429854512
Yemen,2016,147,3.724,0.57939,0.47493,0.31048,0.2287,0.09821,0.05892,2016147,1.552655898335116
Madagascar,2016,148,3.695,0.27954,0.46115,0.37109,0.13684,0.2204,0.07506,2016148,1.5464981126602262
Tanzania,2016,149,3.666,0.47155,0.77623,0.357,0.3176,0.31472,0.05099,2016149,1.5403021735992382
Liberia,2016,150,3.622,0.10706,0.50353,0.23165,0.25748,0.24063,0.04852,2016150,1.530827511852189
Guinea,2016,151,3.607,0.22415,0.3109,0.18829,0.30953,0.29914,0.1192,2016151,1.52757688595378
Rwanda,2016,152,3.515,0.32846,0.61586,0.31865,0.5432,0.23552,0.50521,2016152,1.5074051868689489
Benin,2016,153,3.484,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681,2016153,1.5005155052099135
Afghanistan,2016,154,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112,2016154,1.4724720573609429
Togo,2016,155,3.303,0.28123,0.0,0.24811,0.34678,0.17517,0.11587,2016155,1.4593124538564626
Syria,2016,156,3.069,0.74719,0.14866,0.62994,0.06912,0.48397,0.17233,2016156,1.4033972690195529
Burundi,2016,157,2.905,0.06831,0.23442,0.15747,0.0432,0.2029,0.09419,2016157,1.3622577832916491
Norway,2017,1,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,201701,2.144409679029782
Denmark,2017,2,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,201702,2.1426510358296587
Iceland,2017,3,7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,201703,2.140536663019911
Switzerland,2017,4,7.49399995803833,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,201704,2.139360026950925
Finland,2017,5,7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,201705,2.1364124217239584
Netherlands,2017,6,7.3769998550415,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,201706,2.125489837867327
Canada,2017,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,201707,2.118181368160895
New Zealand,2017,8,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,201708,2.1179408564306033
Sweden,2017,9,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,201709,2.1143259338630527
Australia,2017,10,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,201710,2.1143259338630527
Israel,2017,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,201711,2.1057182429279355
Costa Rica,2017,12,7.0789999961853,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,201712,2.0892681020253967
Austria,2017,13,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,201713,2.0801912658116595
United States,2017,14,6.99300003051758,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,201714,2.0785661624619203
Ireland,2017,15,6.97700023651123,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459,201715,2.076562430578137
Germany,2017,16,6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,201716,2.0732977337867906
Belgium,2017,17,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,201717,2.0657228434340125
Luxembourg,2017,18,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,201718,2.062168202336183
United Kingdom,2017,19,6.71400022506714,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,201719,2.043036888962486
Chile,2017,20,6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,201720,2.034967045097209
United Arab Emirates,2017,21,6.64799976348877,1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,201721,2.0344441448245143
Brazil,2017,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,201722,2.0327429686485705
Czech Republic,2017,23,6.60900020599365,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663,201723,2.0293317842667538
Argentina,2017,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,201724,2.028016656675649
Mexico,2017,25,6.57800006866455,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,201725,2.0252493216574474
Singapore,2017,26,6.57200002670288,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418,201726,2.0244572368736056
Malta,2017,27,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711,201727,2.018496549463972
Uruguay,2017,28,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,201728,2.008750800545301
Guatemala,2017,29,6.4539999961853,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.283488392829895,0.0772232785820961,201729,2.008750800545301
Panama,2017,30,6.4520001411438,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,201730,2.008482471679734
France,2017,31,6.44199991226196,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,201731,2.0071396181348526
Thailand,2017,32,6.42399978637695,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,201732,2.0047179667092423
Taiwan Province of China,2017,33,6.42199993133545,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,201733,2.004448553386917
Spain,2017,34,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,201734,2.001885306971658
Qatar,2017,35,6.375,1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,0.330473870038986,0.439299255609512,201735,1.9980959022258835
Colombia,2017,36,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,201736,1.9956522238392111
Saudi Arabia,2017,37,6.3439998626709,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126,201737,1.993883634618693
Trinidad and Tobago,2017,38,6.16800022125244,1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.325296461582184,0.0089648161083459,201738,1.9696267065393196
Kuwait,2017,39,6.10500001907349,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.228289797902107,0.215159550309181,201739,1.9607987642335805
Slovakia,2017,40,6.09800004959106,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,201740,1.959813061210929
Bahrain,2017,41,6.08699989318848,1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,201741,1.958262104756647
Malaysia,2017,42,6.08400011062622,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218,201742,1.9578387355369364
Nicaragua,2017,43,6.07100009918213,0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,201743,1.9560019266487094
Ecuador,2017,44,6.00799989700317,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,201744,1.947052338937054
El Salvador,2017,45,6.00299978256226,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,201745,1.9463385976241527
Poland,2017,46,5.97300004959106,1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,201746,1.9420455553507423
Uzbekistan,2017,47,5.97100019454956,0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929,201747,1.941758714412676
Italy,2017,48,5.96400022506714,1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629,201748,1.940754054224601
Russia,2017,49,5.96299982070923,1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,201749,1.94061039021134
Belize,2017,50,5.95599985122681,0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191,201750,1.9396045751042863
Japan,2017,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,201751,1.9344157806547153
Lithuania,2017,52,5.90199995040894,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812,201752,1.9318112174907842
Algeria,2017,53,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,201753,1.9274552163230685
Latvia,2017,54,5.84999990463257,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539,201754,1.9242486383518813
South Korea,2017,55,5.83799982070923,1.40167844295502,1.12827444076538,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,201755,1.9224952649973417
Moldova,2017,56,5.83799982070923,0.728870630264282,1.25182557106018,0.589465200901031,0.240729048848152,0.208779126405716,0.0100912861526012,201756,1.9224952649973417
Romania,2017,57,5.82499980926514,1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893,201757,1.9205923131245235
Bolivia,2017,58,5.82299995422363,0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.22556072473526,0.0604777261614799,201758,1.9202992511241601
Turkmenistan,2017,59,5.82200002670288,1.13077676296234,1.49314916133881,0.437726080417633,0.41827192902565,0.24992498755455,0.259270340204239,201759,1.9201526879106845
Kazakhstan,2017,60,5.81899976730347,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918,201760,1.919712799413786
North Cyprus,2017,61,5.80999994277954,1.3469113111496,1.18630337715149,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483,201761,1.918392111759004
Slovenia,2017,62,5.75799989700317,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527,201762,1.9107269730513716
Peru,2017,63,5.71500015258789,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374,201763,1.9043438526986392
Mauritius,2017,64,5.62900018692017,1.18939554691315,1.20956099033356,0.638007462024689,0.491247326135635,0.360933750867844,0.0421815551817417,201764,1.8914539914565944
Cyprus,2017,65,5.62099981307983,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443,201765,1.890246387711298
Estonia,2017,66,5.61100006103516,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813,201766,1.8887349375838052
Belarus,2017,67,5.56899976730347,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393,201767,1.8823615784869026
Libya,2017,68,5.52500009536743,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,0.152073666453362,0.0926102101802826,201768,1.875640967824455
Turkey,2017,69,5.5,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037,201769,1.8718021769015913
Paraguay,2017,70,5.49300003051758,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,201770,1.8707246782264235
"Hong Kong S.A.R., China",2017,71,5.47200012207031,1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914,201771,1.8674851986174867
Philippines,2017,72,5.42999982833862,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,201772,1.860974511552579
Serbia,2017,73,5.39499998092651,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693,201773,1.8555164320482431
Jordan,2017,74,5.33599996566772,0.991012394428253,1.23908889293671,0.604590058326721,0.418421149253845,0.172170460224152,0.11980327218771,201774,1.84624764909352
Hungary,2017,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,201775,1.8443519006477282
Jamaica,2017,76,5.31099987030029,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.233818337321281,0.0552677810192108,201776,1.84229412205073
Croatia,2017,77,5.29300022125244,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,201777,1.8394379397032958
Kosovo,2017,78,5.27899980545044,0.951484382152557,1.13785350322723,0.541452050209045,0.260287940502167,0.319931447505951,0.0574716180562973,201778,1.837210701147809
China,2017,79,5.27299976348877,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,201779,1.836254671411556
Pakistan,2017,80,5.26900005340576,0.72688353061676,0.672690689563751,0.402047783136368,0.23521526157856,0.315446019172668,0.124348066747189,201780,1.8356168608108552
Indonesia,2017,81,5.26200008392334,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904771,201781,1.8344996363062165
Venezuela,2017,82,5.25,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443,201782,1.8325814637483102
Montenegro,2017,83,5.23699998855591,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,0.197911024093628,0.0881741940975189,201783,1.8304992957091146
Morocco,2017,84,5.2350001335144,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,201784,1.8301786005456964
Azerbaijan,2017,85,5.23400020599365,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,201785,1.8300182143887203
Dominican Republic,2017,86,5.23000001907349,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,201786,1.8293763358609172
Greece,2017,87,5.22700023651123,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,201787,1.8288947138718832
Lebanon,2017,88,5.22499990463257,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704,201788,1.8285734270307021
Portugal,2017,89,5.19500017166138,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,201789,1.8237425427907712
Bosnia and Herzegovina,2017,90,5.18200016021729,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0.0,201790,1.8216418696266647
Honduras,2017,91,5.18100023269653,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734,201791,1.821480108324204
Macedonia,2017,92,5.17500019073486,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,201792,1.8205089134022767
Somalia,2017,93,5.15100002288818,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843,201793,1.8166146739472815
Vietnam,2017,94,5.07399988174438,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987,201794,1.8040173471544065
Nigeria,2017,95,5.07399988174438,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,201795,1.8040173471544065
Tajikistan,2017,96,5.04099988937378,0.524713635444641,1.27146327495575,0.529235124588013,0.471566706895828,0.248997643589973,0.146377146244049,201796,1.7985695428440365
Bhutan,2017,97,5.01100015640259,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,201797,1.7935911500764208
Kyrgyzstan,2017,98,5.00400018692017,0.596220076084137,1.39423859119415,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,201798,1.7924259449038216
Nepal,2017,99,4.96199989318848,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,0.394096165895462,0.0729755461215973,201799,1.7854059773404956
Mongolia,2017,100,4.95499992370605,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,0.338464230298996,0.0329022891819477,2017100,1.784231189995517
South Africa,2017,101,4.8289999961853,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,2017101,1.7628454584089779
Tunisia,2017,102,4.80499982833862,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,2017102,1.7587195855785573
Palestinian Territories,2017,103,4.77500009536743,0.716249227523804,1.15564715862274,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,2017103,1.7535382729216977
Egypt,2017,104,4.7350001335144,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039,2017104,1.7465877738619615
Bulgaria,2017,105,4.71400022506714,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,2017105,1.7429193431972994
Sierra Leone,2017,106,4.70900011062622,0.36842092871666,0.984136044979095,0.0055647538974881,0.318697690963745,0.293040901422501,0.0710951760411263,2017106,1.7420438963596347
Cameroon,2017,107,4.69500017166138,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824,2017107,1.7395886270416172
Iran,2017,108,4.69199991226196,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,2017108,1.7390616648133332
Albania,2017,109,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,2017109,1.7305930434529628
Bangladesh,2017,110,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,2017110,1.72419411436063
Namibia,2017,111,4.57399988174438,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,2017111,1.7181129078441804
Kenya,2017,112,4.55299997329712,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.444860309362411,0.0646413192152977,2017112,1.7143383174507396
Mozambique,2017,113,4.55000019073486,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,0.322228103876114,0.179436385631561,2017113,1.713797962124984
Myanmar,2017,114,4.54500007629395,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,0.838075160980225,0.188816204667091,2017114,1.7128966345613834
Senegal,2017,115,4.53499984741211,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052,2017115,1.7110915385927787
Zambia,2017,116,4.51399993896484,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,0.249580144882202,0.0782135501503944,2017116,1.7072903015324792
Iraq,2017,117,4.49700021743774,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786,2017117,1.7042025284342328
Gabon,2017,118,4.46500015258789,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582,2017118,1.6983641495494328
Ethiopia,2017,119,4.46000003814697,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.312650740146637,0.165455713868141,2017119,1.6974487967434382
Sri Lanka,2017,120,4.44000005722046,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308,2017120,1.6937790713863181
Armenia,2017,121,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,2017121,1.681944589738845
India,2017,122,4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515,2017122,1.670533022559755
