Country,Year,Rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,ID,Score_log
Lithuania,2015,56,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,201556,1.9217638157986412
Nicaragua,2015,57,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,201557,1.9210318049321942
Peru,2015,58,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,201558,1.920445810189378
Belarus,2015,59,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,201559,1.918832551791531
Poland,2015,60,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,201560,1.9155982061316543
Malaysia,2015,61,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,201561,1.9125010869241836
Croatia,2015,62,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,201562,1.9108749501182172
Libya,2015,63,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,201563,1.9101349219633759
Russia,2015,64,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,201564,1.9044927392152944
Jamaica,2015,65,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,201565,1.903449908580751
North Cyprus,2015,66,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,201566,1.9013609791431358
Cyprus,2015,67,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,201567,1.900464386136271
Algeria,2015,68,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,201568,1.8878269379742887
Kosovo,2015,69,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,201569,1.8854015919316829
Turkmenistan,2015,70,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,201570,1.8791596595088884
Mauritius,2015,71,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,201571,1.86825744020078
Hong Kong,2015,72,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,201572,1.8677941555040527
Estonia,2015,73,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,201573,1.8608190051595497
Indonesia,2015,74,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,201574,1.8561417281573231
Vietnam,2015,75,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,201575,1.8500283773520307
Turkey,2015,76,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,201576,1.8456161420187658
Kyrgyzstan,2015,77,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,201577,1.8383249383753757
Nigeria,2015,78,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,201578,1.8354573244937744
Bhutan,2015,79,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,201579,1.833061348585161
Azerbaijan,2015,80,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,201580,1.8264829052864406
Pakistan,2015,81,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,201581,1.8235810815510112
Jordan,2015,82,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,201582,1.823258136287426
Montenegro,2015,82,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296,201583,1.823258136287426
China,2015,84,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781,201584,1.814824742159051
Zambia,2015,85,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,201585,1.8130316045035946
Romania,2015,86,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649,201586,1.8122154777954373
Serbia,2015,87,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617,201587,1.8120521724958174
Portugal,2015,88,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078,201588,1.808616586294478
Latvia,2015,89,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332,201589,1.807960848566063
Philippines,2015,90,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279,201590,1.8038527169154384
Somaliland region,2015,91,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,201591,1.8012146279988102
Morocco,2015,92,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546,201592,1.7939237920574316
Macedonia,2015,93,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327,201593,1.7929254558680243
Mozambique,2015,94,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603,201594,1.7869144175648555
Albania,2015,95,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413,201595,1.7849026817648417
Bosnia and Herzegovina,2015,96,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227,201596,1.7832231382057686
Lesotho,2015,97,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504,201597,1.7746133103930846
Dominican Republic,2015,98,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234,201598,1.7724067407122401
Laos,2015,99,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249,201599,1.7708762583116309
Mongolia,2015,100,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666,2015100,1.7705358327764282
Swaziland,2015,101,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2015101,1.769343429943723
Greece,2015,102,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.01397,2015102,1.7676375271076452
